Gym,Event Type,Date,Event Title,Price in iClassPro (WRONG),Confirmed Correct Price,iClassPro Link (Click to Fix)
Capital Gymnastics - Cedar Park,CLINIC,2026-01-11,"Pullover Clinic | Ages 6+ | Sunday, January 11, 2026 | 1:00pm-2:30pm | $35",$35,$25,https://portal.iclasspro.com/capgymavery/camp-details/1250
Capital Gymnastics - Cedar Park,CLINIC,2026-01-11,"Bridge Kickover Clinic | Ages 6+ | Sunday, January 11, 2026 | 2:30pm-4:00pm | $35",$35,$25,https://portal.iclasspro.com/capgymavery/camp-details/1252
Capital Gymnastics - Cedar Park,CLINIC,2026-01-23,"Trampoline & TumblTrak Clinic Ages 6+ | Friday, January 23, 2026 | 6:15 pm-7:15pm | $30",$30,$25,https://portal.iclasspro.com/capgymavery/camp-details/1240
Capital Gymnastics - Cedar Park,CLINIC,2026-02-15,"Beginner Floor Clinic | Ages 6+ | Sunday, February 15, 2026 | 2:30pm-4:00pm | $35",$35,$25,https://portal.iclasspro.com/capgymavery/camp-details/1254
Capital Gymnastics - Cedar Park,CLINIC,2026-02-15,"Pullover Clinic | Ages 6+ | Sunday, February 15, 2026 | 1:00pm-2:30pm | $35",$35,$25,https://portal.iclasspro.com/capgymavery/camp-details/1253
Capital Gymnastics - Cedar Park,CLINIC,2026-02-20,"Cartwheel Clinic | Ages 6+ | Friday, February 20, 2026 | 6:15pm-7:15pm | $30",$30,$25,https://portal.iclasspro.com/capgymavery/camp-details/1257
Capital Gymnastics - Pflugerville,CLINIC,2026-01-16,Flip-Flop Clinic: January 16th: 6:30-8:00pm ($25),$25,$20,https://portal.iclasspro.com/capgymhp/camp-details/2549
Capital Gymnastics - Round Rock,KIDS NIGHT OUT,2026-01-09,Kids Night Out | Ages 4+ | January 9th - BRING A FRIEND FOR 10!,$10,$35,https://portal.iclasspro.com/capgymroundrock/camp-details/1672
Capital Gymnastics - Round Rock,KIDS NIGHT OUT,2026-01-09,Kids Night Out Bring a Friend for $10 - Friends sign up here!,$10,$35,https://portal.iclasspro.com/capgymroundrock/camp-details/1680
Rowland Ballard - Atascocita,KIDS NIGHT OUT,2026-01-16,Karaoke Night |Kids Night Out | Ages 4-13 | January 16th,$35,$20,https://portal.iclasspro.com/rbatascocita/camp-details/2132
Rowland Ballard - Atascocita,KIDS NIGHT OUT,2026-01-30,Ice Cream Party |Kids Night Out | Ages 4-13 | January 30th,$35,$20,https://portal.iclasspro.com/rbatascocita/camp-details/2133
Scottsdale Gymnastics,CLINIC,2026-01-17,Clinic |Pullovers| Ages 5+ | 01/17/2025,$20,$25,https://portal.iclasspro.com/scottsdalegymnastics/camp-details/1951
Scottsdale Gymnastics,OPEN GYM,2026-01-30,Open Gym |Cartwheels & Cocoa| Ages 5-13 | 01/30/2026,$30,$20,https://portal.iclasspro.com/scottsdalegymnastics/camp-details/1949
Scottsdale Gymnastics,CLINIC,2026-01-31,Clinic |Backhandspring| Ages 5+ | 01/31/2025,$20,$25,https://portal.iclasspro.com/scottsdalegymnastics/camp-details/1952
